Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser
Edhazardia aedis USNM 41457	GenBank	GCA_000230595.3	yes	1429	0	0	Edhazardia aedis	USNM 41457	MicrosporidiaDB	1003232.0	GCA_000230595.3_Edha_aedis_V4b	GCA_000230595.3		False	Edhazardia aedis USNM 41457	microsporidians E.aedis (USNM 41457 2015)	https://genome.ucsc.edu/h/GCA_000230595.3
Kluyveromyces marxianus DMKU3-1042	INSDC	GCF_001417885.1	yes	0	0	8	Kluyveromyces marxianus	DMKU3-1042	FungiDB	1003335.0	GCF_001417885.1_Kmar_1.0	GCA_001417885.1	GCF_001417885.1	True	Kluyveromyces marxianus DMKU3-1042	budding yeast K.marxianus (DMKU3-1042 2014 refseq)	https://genome.ucsc.edu/h/GCF_001417885.1
Aspergillus luchuensis IFO 4308	GenBank	GCA_000239835.2	no	1016	146	0	Aspergillus luchuensis	IFO 4308	FungiDB	1033177.0	GCA_000239835.2_Akaw_assembly01	GCA_000239835.2		False	Aspergillus luchuensis IFO 4308	ascomycetes A.luchuensis IFO 4308 (IFO4308 2011)	https://genome.ucsc.edu/h/GCA_000239835.2
Epichloe glyceriae E277	INSDC	GCA_000225285.2	yes	3076	0	0	Epichloe glyceriae	E277	FungiDB	1035635.0	GCA_000225285.2_EpiGly_1.0	GCA_000225285.2		False	Epichloe glyceriae E277	ascomycetes E.glyceriae (E277 2011)	https://genome.ucsc.edu/h/GCA_000225285.2
Aspergillus versicolor CBS 583.65	GenBank	GCA_001890125.1	yes	0	51	0	Aspergillus versicolor	CBS 583.65	FungiDB	1036611.0	GCF_001890125.1_Aspve1	GCA_001890125.1	GCF_001890125.1	True	Aspergillus versicolor CBS 583.65	ascomycetes A.versicolor CBS 583.65	https://genome.ucsc.edu/h/GCF_001890125.1
Aspergillus sydowii CBS 593.65	GenBank	GCA_001890705.1	yes	0	97	0	Aspergillus sydowii	CBS 593.65	FungiDB	1036612.0	GCF_001890705.1_Aspsy1	GCA_001890705.1	GCF_001890705.1	True	Aspergillus sydowii CBS 593.65	ascomycetes A.sydowii CBS 593.65	https://genome.ucsc.edu/h/GCF_001890705.1
Nosema apis BRL 01	INSDC	GCA_000447185.1	yes	0	554	0	Nosema apis	BRL 01	MicrosporidiaDB	1037528.0	GCA_000447185.1_NapisBRLv01	GCA_000447185.1		False	Vairimorpha apis BRL 01	microsporidians V.apis (BRL 01 2013)	https://genome.ucsc.edu/h/GCA_000447185.1
Trypanosoma vivax Y486	GenBank	GCA_000227375.1	yes	8279	0	11	Trypanosoma vivax	Y486	TriTrypDB	1055687.0	GCA_000227375.1_ASM22737v1	GCA_000227375.1		False	Trypanosoma vivax Y486	Trypanosoma vivax (Y486 2011)	https://genome.ucsc.edu/h/GCA_000227375.1
Trypanosoma congolense IL3000	GenBank	GCA_000227395.2	yes	2828	0	11	Trypanosoma congolense	IL3000	TriTrypDB	1068625.0	GCA_000227395.2_ASM22739v2	GCA_000227395.2		False	Trypanosoma congolense IL3000	Trypanosoma congolense (IL3000 2011)	https://genome.ucsc.edu/h/GCA_000227395.2
Pneumocystis murina B123	INSDC	GCA_000349005.2	yes	0	20	0	Pneumocystis murina	B123	FungiDB	1069680.0	GCF_000349005.2_Pneumo_murina_B123_V4	GCA_000349005.2	GCF_000349005.2	True	Pneumocystis murina B123	ascomycetes P.murina B123	https://genome.ucsc.edu/h/GCF_000349005.2
Aspergillus wentii DTO 134E9	GenBank	GCA_001890725.1	yes	0	27	0	Aspergillus wentii	DTO 134E9	FungiDB	1073089.0	GCF_001890725.1_Aspwe1	GCA_001890725.1	GCF_001890725.1	True	Aspergillus wentii DTO 134E9	ascomycetes A.wentii DTO 134E9	https://genome.ucsc.edu/h/GCF_001890725.1
Penicilliopsis zonata CBS 506.65	GenBank	GCA_001890105.1	yes	0	246	0	Penicilliopsis zonata	CBS 506.65	FungiDB	1073090.0	GCF_001890105.1_Aspzo1	GCA_001890105.1	GCF_001890105.1	True	Penicilliopsis zonata CBS 506.65	ascomycetes P.zonata CBS 506.65	https://genome.ucsc.edu/h/GCF_001890105.1
Pyronema omphalodes CBS 100304	INSDC	GCA_024516155.1	yes	0	260	0	Pyronema omphalodes	CBS 100304	FungiDB	337075.0	GCA_024516155.1_Pyrom1	GCA_024516155.1		False	Pyronema omphalodes	ascomycetes P.omphalodes (CBS 144459 2022)	https://genome.ucsc.edu/h/GCA_024516155.1
Fusarium odoratissimum NRRL 54006	GenBank	GCA_000260195.2	no	0	418	0	Fusarium odoratissimum	NRRL 54006	FungiDB	1089451.0	GCF_000260195.1_FO_II5_V1	GCA_000260195.2	GCF_000260195.1	True	Fusarium odoratissimum NRRL 54006	ascomycetes F.odoratissimum NRRL 54006	https://genome.ucsc.edu/h/GCF_000260195.1
Fusarium oxysporum f. sp. melonis 26406	GenBank	GCA_000260495.2	no	0	1146	0	Fusarium oxysporum	f. sp. melonis 26406	FungiDB	1089452.0	GCA_000260495.2_FO_melonis_V1	GCA_000260495.2		False	Fusarium oxysporum f. sp. melonis 26406	ascomycetes F.oxysporum f. sp. melonis (26406 2014)	https://genome.ucsc.edu/h/GCA_000260495.2
Phytophthora sojae strain P6497	GenBank	GCA_000149755.2	yes	0	82	0	Phytophthora sojae	strain P6497	FungiDB	67593.0	GCF_000149755.1_P.sojae_V3.0	GCA_000149755.2	GCF_000149755.1	True	Phytophthora sojae	downy mildews (P6497 2011)	https://genome.ucsc.edu/h/GCF_000149755.1
